Date,Price,Open,High,Low,Change %
7/27/2025,12.04,11.93,12.04,11.93,1.39%
7/20/2025,11.88,11.98,12.07,11.88,-1.04%
7/13/2025,12.00,13.12,13.12,12.00,-8.50%
7/6/2025,13.12,13.10,13.13,13.10,-0.34%
6/29/2025,13.16,13.13,13.17,13.11,-0.27%
6/22/2025,13.20,14.46,14.46,13.20,-7.44%
6/15/2025,14.26,13.59,14.26,13.59,14.00%
6/8/2025,12.50,12.44,12.50,12.41,0.47%
6/1/2025,12.45,12.30,12.45,12.30,2.39%
5/25/2025,12.16,12.50,12.50,12.16,-2.64%
5/18/2025,12.49,11.97,12.52,11.97,4.96%
5/11/2025,11.90,11.44,11.90,11.44,3.75%
5/4/2025,11.47,11.26,11.47,11.26,1.82%
4/27/2025,11.26,11.28,11.28,11.22,-0.09%
4/20/2025,11.27,12.09,12.09,11.27,-6.74%
4/13/2025,12.09,12.52,12.52,11.86,-3.67%
4/6/2025,12.55,12.78,12.78,12.55,-2.86%
3/30/2025,12.92,13.08,13.23,12.92,-1.30%
3/23/2025,13.09,13.39,13.39,13.09,-2.24%
3/16/2025,13.39,13.18,13.76,13.11,-1.90%
3/9/2025,13.64,13.76,13.76,13.64,-0.84%
3/2/2025,13.76,13.97,13.97,13.69,-0.65%
2/23/2025,13.85,14.34,14.34,13.49,-2.29%
2/16/2025,14.18,14.55,14.55,14.12,-5.18%
2/9/2025,14.95,14.95,14.95,14.95,1.53%
2/2/2025,14.73,14.41,14.73,14.41,1.97%
1/26/2025,14.44,14.02,14.44,13.99,2.34%
1/19/2025,14.11,14.41,14.41,13.98,2.39%
1/12/2025,13.78,14.14,14.14,13.75,-2.65%
1/5/2025,14.16,14.29,14.29,14.16,-1.43%
12/29/2024,14.36,14.16,14.38,14.16,0.49%
12/22/2024,14.29,13.99,14.29,13.97,4.57%
12/15/2024,13.67,13.67,13.67,13.67,-8.15%
12/8/2024,14.88,15.06,15.06,14.88,-1.31%
12/1/2024,15.08,15.12,15.13,15.07,1.01%
11/24/2024,14.93,15.02,15.02,14.93,0.95%
11/17/2024,14.79,14.65,15.08,14.40,8.88%
11/10/2024,13.58,13.55,13.58,13.55,0.21%
11/3/2024,13.55,13.48,13.55,13.48,0.56%
10/27/2024,13.48,13.76,13.76,13.48,-2.32%
10/20/2024,13.80,13.34,13.80,13.34,3.92%
10/13/2024,13.28,13.11,13.50,13.11,1.49%
10/6/2024,13.08,13.14,13.14,13.07,-0.08%
9/29/2024,13.09,13.13,13.18,13.09,-0.87%
9/22/2024,13.21,13.21,13.21,13.06,1.81%
9/15/2024,12.97,13.13,13.30,12.83,-5.15%
9/8/2024,13.67,13.78,13.79,13.67,-0.84%
9/1/2024,13.79,13.83,13.83,13.79,-2.13%
8/25/2024,14.09,13.82,14.09,13.82,1.95%
8/18/2024,13.82,14.47,14.47,13.75,-4.79%
8/11/2024,14.52,12.63,14.52,12.63,15.66%
8/4/2024,12.55,12.45,12.57,12.45,0.24%
